State,Year,Quater,Transaction_amount,Transaction_count,Top_Dist_Name
punjab,2020,3,1942683602.9336882,761837,bathinda
punjab,2020,3,1533956137.4019094,650223,fazilka
punjab,2020,3,1244533965.4714077,520244,sangrur
punjab,2020,3,1117386418.785541,447422,pathankot
punjab,2020,3,938565050.5404744,444703,hoshiarpur
punjab,2020,1,9811040748.858643,4234211,ludhiana
punjab,2020,1,4802064278.867107,2856044,sas nagar
punjab,2020,1,2475070637.207554,1138166,jalandhar
punjab,2020,1,2170491285.561859,960246,amritsar
punjab,2020,1,1884698406.1873357,886202,patiala
punjab,2020,1,736259091.7068343,733357,kapurthala
punjab,2020,1,1321796468.7923622,601259,bathinda
punjab,2020,1,1106991298.8320842,500308,fazilka
punjab,2020,1,899705429.0338153,464316,sangrur
punjab,2020,1,613999219.7583513,321185,hoshiarpur
punjab,2018,2,935892631.8609879,572930,ludhiana
punjab,2018,2,730035482.9606797,387752,sas nagar
punjab,2018,2,371254259.4379476,196259,patiala
punjab,2018,2,333928450.34592813,158547,jalandhar
punjab,2018,2,334246873.79937446,147287,amritsar
punjab,2018,2,267391852.08765233,146307,bathinda
punjab,2018,2,203431002.47284475,132032,fazilka
punjab,2018,2,193602226.83944377,125761,sangrur
punjab,2018,2,143776925.54049534,80199,kapurthala
punjab,2018,2,158739383.40365845,78612,pathankot
punjab,2018,4,2226953590.8612576,1098598,ludhiana
punjab,2018,4,1538255981.1155858,771033,sas nagar
punjab,2018,4,854933124.0667864,343229,patiala
punjab,2018,4,787278146.4736681,309298,jalandhar
punjab,2018,4,429092237.0505666,300930,sangrur
punjab,2018,4,797440476.1615218,300266,amritsar
punjab,2018,4,614565899.4866277,253384,bathinda
punjab,2018,4,434770271.47232676,213017,fazilka
punjab,2018,4,443194938.3785553,155199,pathankot
punjab,2018,4,271879526.83803904,140093,kapurthala
punjab,2018,3,1456417150.3474631,778963,ludhiana
punjab,2018,3,1070550639.2870402,547349,sas nagar
punjab,2018,3,563579570.2701483,250988,patiala
punjab,2018,3,521388263.73223054,215686,jalandhar
punjab,2018,3,284133550.35333884,206582,sangrur
punjab,2018,3,530829226.63244426,195357,amritsar
punjab,2018,3,400049254.5805787,187177,bathinda
punjab,2018,3,270023103.2648601,157892,fazilka
punjab,2018,3,279349329.14573973,108152,pathankot
punjab,2018,3,188312115.6799224,106984,kapurthala
punjab,2018,1,563038260.5420344,427197,ludhiana
punjab,2018,1,465850273.6343405,285119,sas nagar
punjab,2018,1,216716752.3274328,131111,patiala
punjab,2018,1,193577710.74675983,118981,jalandhar
punjab,2018,1,118915901.3809619,100864,fazilka
punjab,2018,1,200091373.4518867,98115,amritsar
punjab,2018,1,151709303.3472533,96310,bathinda
punjab,2018,1,118420389.52793653,89227,sangrur
punjab,2018,1,79325181.77412872,65770,kapurthala
punjab,2018,1,81047251.32470225,51474,pathankot
punjab,2022,2,46924183892.055084,26982785,ludhiana
punjab,2022,2,13821174897.264778,10260992,sas nagar
punjab,2022,2,11388945408.67424,4934930,amritsar
punjab,2022,2,8843362969.63771,4368370,jalandhar
punjab,2022,2,8150713456.483324,3836784,patiala
punjab,2022,2,5859074278.903449,2774270,bathinda
punjab,2022,2,5235266714.464994,2322893,fazilka
punjab,2022,2,2826285167.86687,1900455,kapurthala
punjab,2022,2,3654246286.0727186,1733490,pathankot
punjab,2022,2,3950202304.556946,1640279,sangrur
punjab,2022,4,57521708592.12727,33298864,ludhiana
punjab,2022,4,18113344764.852985,13686435,sas nagar
punjab,2022,4,13743135320.99577,6049600,amritsar
punjab,2022,4,10699280684.068104,5556816,jalandhar
punjab,2022,4,10462961913.338879,5290182,patiala
punjab,2022,4,3945783181.7842913,3514599,kapurthala
punjab,2022,4,6432660306.980121,3201266,bathinda
punjab,2022,4,5829795275.137226,2704233,fazilka
punjab,2022,4,4366867188.489857,2110456,hoshiarpur
punjab,2022,4,4766598735.821444,2004123,sangrur
punjab,2022,3,52659794645.55728,31697344,ludhiana
punjab,2022,3,18050299571.02451,13524410,sas nagar
punjab,2022,3,11781862029.205471,5353882,amritsar
punjab,2022,3,9243374092.577248,4730075,jalandhar
punjab,2022,3,8011939442.457413,4007021,patiala
punjab,2022,3,3702626207.3035707,2952123,kapurthala
punjab,2022,3,5852032739.035611,2929344,bathinda
punjab,2022,3,5147923013.794576,2618054,fazilka
punjab,2022,3,3662889899.847559,1792893,pathankot
punjab,2022,3,3625177520.5732203,1789334,hoshiarpur
punjab,2022,1,40193189296.7483,21131450,ludhiana
punjab,2022,1,11945087945.784222,8233644,sas nagar
punjab,2022,1,9595112041.612688,4020245,amritsar
punjab,2022,1,7482301985.829842,3480708,jalandhar
punjab,2022,1,7185470674.538302,3167322,patiala
punjab,2022,1,5132201177.079787,2252561,bathinda
punjab,2022,1,4723173436.355923,1942203,fazilka
punjab,2022,1,3057799524.708644,1380244,pathankot
punjab,2022,1,3436077358.298136,1350576,sangrur
punjab,2022,1,2322895082.0700884,1326492,kapurthala
nagaland,2021,2,1726249195.1688533,585389,dimapur
nagaland,2021,2,694940464.6072702,274137,kohima
nagaland,2021,2,152031632.47756842,63952,mokokchung
nagaland,2021,2,137641682.97031063,51055,mon
nagaland,2021,2,82266645.13170332,34223,wokha
nagaland,2021,2,98158667.79913512,31478,phek
