State,Year,Quater,app_open_count,user_count,District
punjab,2019,4,7725737,422041,sas nagar district
punjab,2019,4,1881604,143162,sangrur district
punjab,2019,4,3394986,251259,jalandhar district
punjab,2019,4,2453820,180722,bathinda district
punjab,2019,4,2193189,71914,kapurthala district
punjab,2019,4,1108157,79879,firozepur district
punjab,2019,4,1118140,100393,gurdaspur district
punjab,2019,4,3523965,268663,amritsar district
punjab,2019,4,664245,54374,faridkot district
punjab,2019,4,1230367,113296,hoshiarpur district
punjab,2019,4,715025,59945,moga district
punjab,2019,3,358302,29058,shahid bhagat singh nagar district
punjab,2019,3,1615296,132573,fazilka district
punjab,2019,3,424937,40352,barnala district
punjab,2019,3,547782,56807,mansa district
punjab,2019,3,8692321,601479,ludhiana district
punjab,2019,3,684183,66098,sri muktsar sahib district
punjab,2019,3,3089142,229488,patiala district
punjab,2019,3,1050471,79266,pathankot district
punjab,2019,3,710529,55452,fatehgarh sahib district
punjab,2019,3,791936,64333,rupnagar district
punjab,2019,3,542647,47784,tarn taran district
punjab,2019,3,6868841,385263,sas nagar district
punjab,2019,3,1545980,127329,sangrur district
punjab,2019,3,3028235,225027,jalandhar district
punjab,2019,3,2039631,162800,bathinda district
punjab,2019,3,1777578,63785,kapurthala district
punjab,2019,3,893976,70387,firozepur district
punjab,2019,3,911184,87043,gurdaspur district
punjab,2019,3,3127423,238628,amritsar district
punjab,2019,3,526908,48150,faridkot district
punjab,2019,3,1049605,99272,hoshiarpur district
punjab,2019,3,583979,52339,moga district
punjab,2019,1,0,21180,shahid bhagat singh nagar district
punjab,2019,1,0,104942,fazilka district
punjab,2019,1,0,30391,barnala district
punjab,2019,1,0,45716,mansa district
punjab,2019,1,0,454370,ludhiana district
punjab,2019,1,0,51650,sri muktsar sahib district
punjab,2019,1,0,169872,patiala district
punjab,2019,1,0,59669,pathankot district
punjab,2019,1,0,40342,fatehgarh sahib district
punjab,2019,1,0,46877,rupnagar district
punjab,2019,1,0,33774,tarn taran district
punjab,2019,1,0,298288,sas nagar district
punjab,2019,1,0,97326,sangrur district
punjab,2019,1,0,164130,jalandhar district
punjab,2019,1,0,128070,bathinda district
punjab,2019,1,0,46907,kapurthala district
punjab,2019,1,0,52617,firozepur district
punjab,2019,1,0,62502,gurdaspur district
punjab,2019,1,0,171264,amritsar district
punjab,2019,1,0,36743,faridkot district
punjab,2019,1,0,72128,hoshiarpur district
punjab,2019,1,0,37832,moga district
punjab,2020,2,557697,45867,shahid bhagat singh nagar district
punjab,2020,2,2747541,188515,fazilka district
punjab,2020,2,650469,59490,barnala district
punjab,2020,2,843138,83176,mansa district
punjab,2020,2,10720306,853140,ludhiana district
punjab,2020,2,1087803,95421,sri muktsar sahib district
punjab,2020,2,3955850,323801,patiala district
punjab,2020,2,1625788,113067,pathankot district
punjab,2020,2,993979,83254,fatehgarh sahib district
punjab,2020,2,1193440,95464,rupnagar district
punjab,2020,2,1059453,79790,tarn taran district
punjab,2020,2,5834843,498018,sas nagar district
punjab,2020,2,2108122,183342,sangrur district
punjab,2020,2,3693900,320498,jalandhar district
punjab,2020,2,2668136,222968,bathinda district
punjab,2020,2,1079840,91387,kapurthala district
punjab,2020,2,1366144,102253,firozepur district
punjab,2020,2,1652130,137571,gurdaspur district
punjab,2020,2,3868572,343732,amritsar district
punjab,2020,2,841168,70252,faridkot district
punjab,2020,2,1812295,153462,hoshiarpur district
punjab,2020,2,928962,81013,moga district
punjab,2020,4,642364,57655,shahid bhagat singh nagar district
punjab,2020,4,3521818,228837,fazilka district
punjab,2020,4,811463,73443,barnala district
punjab,2020,4,995245,99292,mansa district
punjab,2020,4,15042418,1037696,ludhiana district
punjab,2020,4,1389976,116292,sri muktsar sahib district
punjab,2020,4,5439173,391658,patiala district
punjab,2020,4,2165639,136917,pathankot district
punjab,2020,4,1365222,103647,fatehgarh sahib district
punjab,2020,4,1524661,116268,rupnagar district
punjab,2020,4,1326388,102096,tarn taran district
punjab,2020,4,10389939,586500,sas nagar district
punjab,2020,4,2653964,225211,sangrur district
punjab,2020,4,5107171,396951,jalandhar district
punjab,2020,4,3673311,267808,bathinda district
punjab,2020,4,1466363,113254,kapurthala district
punjab,2020,4,1707112,125577,firozepur district
punjab,2020,4,1985407,173650,gurdaspur district
punjab,2020,4,5557799,423283,amritsar district
punjab,2020,4,1111008,86811,faridkot district
punjab,2020,4,2141902,191711,hoshiarpur district
punjab,2020,4,1172840,103311,moga district
punjab,2020,3,568643,52007,shahid bhagat singh nagar district
punjab,2020,3,2971338,208929,fazilka district
punjab,2020,3,703985,66758,barnala district
punjab,2020,3,898524,91467,mansa district
punjab,2020,3,12240572,944936,ludhiana district
punjab,2020,3,1174550,105998,sri muktsar sahib district
punjab,2020,3,4622948,358126,patiala district
punjab,2020,3,1823052,124994,pathankot district
punjab,2020,3,1120472,93571,fatehgarh sahib district
punjab,2020,3,1287673,106045,rupnagar district
punjab,2020,3,1111339,91194,tarn taran district
punjab,2020,3,7964796,540527,sas nagar district
punjab,2020,3,2286598,204491,sangrur district
punjab,2020,3,4306433,359980,jalandhar district
punjab,2020,3,3075052,245674,bathinda district
punjab,2020,3,1216117,102054,kapurthala district
punjab,2020,3,1477580,114475,firozepur district
punjab,2020,3,1702583,155619,gurdaspur district
punjab,2020,3,4571038,383166,amritsar district
punjab,2020,3,934414,78676,faridkot district
punjab,2020,3,1894162,173002,hoshiarpur district
punjab,2020,3,994863,92544,moga district
punjab,2020,1,490108,38821,shahid bhagat singh nagar district
punjab,2020,1,2488961,168714,fazilka district
punjab,2020,1,603429,51941,barnala district
punjab,2020,1,799060,74105,mansa district
punjab,2020,1,11119366,756590,ludhiana district
punjab,2020,1,1014080,84164,sri muktsar sahib district
punjab,2020,1,3967305,287330,patiala district
punjab,2020,1,1401796,99453,pathankot district
punjab,2020,1,995685,72422,fatehgarh sahib district
punjab,2020,1,1115635,82807,rupnagar district
punjab,2020,1,874175,66491,tarn taran district
punjab,2020,1,8395805,460416,sas nagar district
punjab,2020,1,2080788,161513,sangrur district
punjab,2020,1,3840409,282191,jalandhar district
punjab,2020,1,2727950,200425,bathinda district
punjab,2020,1,2265592,80875,kapurthala district
punjab,2020,1,1268154,90278,firozepur district
punjab,2020,1,1354661,116534,gurdaspur district
punjab,2020,1,3974667,303767,amritsar district
punjab,2020,1,758282,61578,faridkot district
punjab,2020,1,1462905,129693,hoshiarpur district
punjab,2020,1,854897,69394,moga district
punjab,2018,2,0,10332,shahid bhagat singh nagar district
punjab,2018,2,0,60134,fazilka district
punjab,2018,2,0,16405,barnala district
punjab,2018,2,0,27053,mansa district
punjab,2018,2,0,230404,ludhiana district
punjab,2018,2,0,28590,sri muktsar sahib district
punjab,2018,2,0,90123,patiala district
punjab,2018,2,0,29096,pathankot district
punjab,2018,2,0,20549,fatehgarh sahib district
punjab,2018,2,0,23246,rupnagar district
punjab,2018,2,0,15514,tarn taran district
punjab,2018,2,0,161605,sas nagar district
punjab,2018,2,0,50749,sangrur district
punjab,2018,2,0,79991,jalandhar district
punjab,2018,2,0,70948,bathinda district
punjab,2018,2,0,24556,kapurthala district
punjab,2018,2,0,27110,firozepur district
punjab,2018,2,0,29910,gurdaspur district
punjab,2018,2,0,82735,amritsar district
punjab,2018,2,0,19714,faridkot district
punjab,2018,2,0,34576,hoshiarpur district
punjab,2018,2,0,18850,moga district
punjab,2018,4,0,17534,shahid bhagat singh nagar district
punjab,2018,4,0,89590,fazilka district
punjab,2018,4,0,25961,barnala district
punjab,2018,4,0,39841,mansa district
punjab,2018,4,0,378237,ludhiana district
punjab,2018,4,0,44046,sri muktsar sahib district
punjab,2018,4,0,142989,patiala district
punjab,2018,4,0,49244,pathankot district
punjab,2018,4,0,33652,fatehgarh sahib district
punjab,2018,4,0,38623,rupnagar district
punjab,2018,4,0,27566,tarn taran district
punjab,2018,4,0,250733,sas nagar district
punjab,2018,4,0,82334,sangrur district
punjab,2018,4,0,135966,jalandhar district
punjab,2018,4,0,109505,bathinda district
punjab,2018,4,0,39412,kapurthala district
punjab,2018,4,0,44095,firozepur district
punjab,2018,4,0,51644,gurdaspur district
punjab,2018,4,0,141933,amritsar district
punjab,2018,4,0,31389,faridkot district
punjab,2018,4,0,59684,hoshiarpur district
punjab,2018,4,0,31737,moga district
punjab,2018,3,0,13651,shahid bhagat singh nagar district
punjab,2018,3,0,73785,fazilka district
punjab,2018,3,0,20578,barnala district
punjab,2018,3,0,32798,mansa district
punjab,2018,3,0,296414,ludhiana district
punjab,2018,3,0,35579,sri muktsar sahib district
punjab,2018,3,0,113902,patiala district
punjab,2018,3,0,37880,pathankot district
punjab,2018,3,0,26642,fatehgarh sahib district
punjab,2018,3,0,30201,rupnagar district
punjab,2018,3,0,21326,tarn taran district
punjab,2018,3,0,201458,sas nagar district
punjab,2018,3,0,64978,sangrur district
punjab,2018,3,0,104824,jalandhar district
punjab,2018,3,0,88508,bathinda district
punjab,2018,3,0,31128,kapurthala district
punjab,2018,3,0,34756,firozepur district
punjab,2018,3,0,39920,gurdaspur district
punjab,2018,3,0,108935,amritsar district
punjab,2018,3,0,25150,faridkot district
punjab,2018,3,0,45862,hoshiarpur district
punjab,2018,3,0,24873,moga district
punjab,2018,1,0,7519,shahid bhagat singh nagar district
punjab,2018,1,0,44823,fazilka district
punjab,2018,1,0,12242,barnala district
punjab,2018,1,0,20521,mansa district
punjab,2018,1,0,168625,ludhiana district
punjab,2018,1,0,21239,sri muktsar sahib district
punjab,2018,1,0,66507,patiala district
punjab,2018,1,0,20420,pathankot district
punjab,2018,1,0,14764,fatehgarh sahib district
punjab,2018,1,0,17004,rupnagar district
punjab,2018,1,0,11244,tarn taran district
punjab,2018,1,0,121113,sas nagar district
punjab,2018,1,0,37485,sangrur district
punjab,2018,1,0,57808,jalandhar district
punjab,2018,1,0,52466,bathinda district
punjab,2018,1,0,18281,kapurthala district
punjab,2018,1,0,19987,firozepur district
punjab,2018,1,0,21372,gurdaspur district
punjab,2018,1,0,59685,amritsar district
punjab,2018,1,0,14795,faridkot district
punjab,2018,1,0,25348,hoshiarpur district
punjab,2018,1,0,13894,moga district
punjab,2022,2,3500784,87026,shahid bhagat singh nagar district
punjab,2022,2,11531407,345717,fazilka district
punjab,2022,2,3392118,110954,barnala district
punjab,2022,2,4568731,150065,mansa district
punjab,2022,2,10354374,1558996,ludhiana district
punjab,2022,2,8547693,175597,sri muktsar sahib district
punjab,2022,2,8361677,579934,patiala district
punjab,2022,2,3292900,203736,pathankot district
punjab,2022,2,2475166,156204,fatehgarh sahib district
punjab,2022,2,3013581,174008,rupnagar district
punjab,2022,2,9552683,153716,tarn taran district
punjab,2022,2,5848733,859976,sas nagar district
punjab,2022,2,7962033,338752,sangrur district
punjab,2022,2,5862599,590791,jalandhar district
punjab,2022,2,10533755,399793,bathinda district
punjab,2022,2,4360838,168715,kapurthala district
punjab,2022,2,6530376,187749,firozepur district
punjab,2022,2,6109677,260611,gurdaspur district
punjab,2022,2,8708198,625338,amritsar district
punjab,2022,2,3223131,130147,faridkot district
punjab,2022,2,6510610,289259,hoshiarpur district
punjab,2022,2,4724273,155016,moga district
punjab,2022,4,1889438,94785,shahid bhagat singh nagar district
punjab,2022,4,10242514,380321,fazilka district
punjab,2022,4,2410607,121339,barnala district
punjab,2022,4,3197805,163425,mansa district
punjab,2022,4,40010759,1728119,ludhiana district
punjab,2022,4,4422055,191657,sri muktsar sahib district
punjab,2022,4,14122927,635654,patiala district
punjab,2022,4,6909742,224233,pathankot district
punjab,2022,4,4277171,171316,fatehgarh sahib district
punjab,2022,4,4458155,191222,rupnagar district
punjab,2022,4,4941581,166670,tarn taran district
punjab,2022,4,26990827,946603,sas nagar district
punjab,2022,4,7369051,370649,sangrur district
punjab,2022,4,13146940,649918,jalandhar district
punjab,2022,4,10538332,439064,bathinda district
punjab,2022,4,5122197,184551,kapurthala district
punjab,2022,4,5211241,204937,firozepur district
punjab,2022,4,6558408,284591,gurdaspur district
punjab,2022,4,15030630,686055,amritsar district
punjab,2022,4,3099388,142240,faridkot district
punjab,2022,4,6451627,316389,hoshiarpur district
punjab,2022,4,3498048,169015,moga district
punjab,2022,3,3012229,91214,shahid bhagat singh nagar district
punjab,2022,3,13937735,363909,fazilka district
punjab,2022,3,3446712,116402,barnala district
punjab,2022,3,5338834,157364,mansa district
punjab,2022,3,11240356,1644780,ludhiana district
punjab,2022,3,8483794,184238,sri muktsar sahib district
punjab,2022,3,9839964,608884,patiala district
punjab,2022,3,4060887,214406,pathankot district
punjab,2022,3,2748659,164128,fatehgarh sahib district
punjab,2022,3,3032037,183054,rupnagar district
punjab,2022,3,9780568,160720,tarn taran district
punjab,2022,3,6516965,904073,sas nagar district
punjab,2022,3,8538887,355769,sangrur district
punjab,2022,3,6512493,621327,jalandhar district
punjab,2022,3,11570546,420285,bathinda district
punjab,2022,3,4865445,177068,kapurthala district
punjab,2022,3,7499072,196883,firozepur district
punjab,2022,3,8368676,273518,gurdaspur district
punjab,2022,3,9760253,656700,amritsar district
punjab,2022,3,4032999,136663,faridkot district
punjab,2022,3,6744083,303683,hoshiarpur district
punjab,2022,3,5294537,162514,moga district
punjab,2022,1,2318330,82505,shahid bhagat singh nagar district
punjab,2022,1,9879695,327088,fazilka district
punjab,2022,1,2500243,105069,barnala district
punjab,2022,1,4018980,142032,mansa district
punjab,2022,1,9631471,1476288,ludhiana district
punjab,2022,1,5576982,166210,sri muktsar sahib district
punjab,2022,1,6937640,550482,patiala district
punjab,2022,1,3072838,193189,pathankot district
punjab,2022,1,2106330,147969,fatehgarh sahib district
punjab,2022,1,2500397,164884,rupnagar district
punjab,2022,1,7511204,145686,tarn taran district
punjab,2022,1,5856847,817209,sas nagar district
punjab,2022,1,6238824,321129,sangrur district
punjab,2022,1,5869719,560393,jalandhar district
punjab,2022,1,9419283,378864,bathinda district
punjab,2022,1,3276633,160149,kapurthala district
punjab,2022,1,4907969,177916,firozepur district
punjab,2022,1,5206011,247179,gurdaspur district
punjab,2022,1,7837937,593970,amritsar district
punjab,2022,1,2956949,123441,faridkot district
punjab,2022,1,5849019,274004,hoshiarpur district
punjab,2022,1,4009506,147070,moga district
nagaland,2021,2,824300,17389,mon district
nagaland,2021,2,698566,8134,phek district
nagaland,2021,2,336996,3696,longleng district
nagaland,2021,2,575184,16857,mokokchung district
nagaland,2021,2,248094,4224,kiphire district
nagaland,2021,2,831177,40277,kohima district
nagaland,2021,2,462581,9565,tuensang district
nagaland,2021,2,320237,4641,peren district
nagaland,2021,2,1414183,101835,dimapur district
nagaland,2021,2,513142,6487,zunheboto district
nagaland,2021,2,492432,10232,wokha district
nagaland,2021,4,427566,20409,mon district
nagaland,2021,4,298676,9753,phek district
nagaland,2021,4,120703,4457,longleng district
nagaland,2021,4,404932,19747,mokokchung district
nagaland,2021,4,109617,5047,kiphire district
nagaland,2021,4,1100010,46621,kohima district
nagaland,2021,4,252598,11300,tuensang district
nagaland,2021,4,151217,5509,peren district
nagaland,2021,4,3026184,117388,dimapur district
nagaland,2021,4,178142,7765,zunheboto district
nagaland,2021,4,313692,11994,wokha district
nagaland,2021,3,1029901,18911,mon district
nagaland,2021,3,1030765,8933,phek district
nagaland,2021,3,349624,4081,longleng district
nagaland,2021,3,801280,18340,mokokchung district
nagaland,2021,3,279525,4626,kiphire district
nagaland,2021,3,1074462,43467,kohima district
nagaland,2021,3,675034,10433,tuensang district
nagaland,2021,3,434939,5089,peren district
